0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
SAINT GERMAIN SUR MEUSE;83;55456;DEVANT UGNY;02288X0019;86;;55000;89;08/06/2001;0;;SAINT GERMAIN SUR MEUSE + UGNY SUR MEUSE + Ourches sur Meuse;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;614
SAINT GERMAIN SUR MEUSE;84;55456;SAINT GERMAIN SUR MEUSE;;0;;55000;87;;265;55000785;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.7;0;7.57;21;20.7;20.85;27.9;25.4;26.65;0.6;0;0.27;18.6;11.8;14.667;0.012;0;;;
SAINT MAURICE SOUS LES COTES;83;55462;REHONSARD;01628X0006;85;;55000;89;15/12/2005;0;;SAINT MAURICE SOUS LES COTES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;430
SAINT MAURICE SOUS LES COTES;84;55462;SAINT MAURICE SOUS LES COTES;;0;;55000;87;;413;55000981;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;;6;0;0;;100;7.7;0;7.57;19.1;18.4;18.75;21.3;18.8;20.05;0.2;0.1;0.13;1.5;1.3;1.367;0;0;;;
SAINT MIHIEL;83;55463;VERSEL;01922X0018;85;;55000;89;07/03/2005;0;;SAINT MIHIEL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SAINT MIHIEL;83;55463;CHATIPRE;01922X0039;86;;55000;89;07/03/2005;0;;SAINT MIHIEL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;4424
SAINT MIHIEL;83;55463;SOURCE DES CARMES;01923X0031;85;;55000;89;07/03/2005;0;;SAINT MIHIEL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SAINT MIHIEL;83;55463;FONTAINE DES GAUMONT;01923X0037;85;;55000;89;07/03/2005;0;;SAINT MIHIEL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SAINT MIHIEL;83;55463;FONTAINE DES CARMES;01923X0060;85;;55000;89;07/03/2005;0;;SAINT MIHIEL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SAINT MIHIEL;84;55463;SAINT MIHIEL-RESEAU CHATIPRE;;0;;55000;87;;2310;55000992;;;;;;;;;;;;;;;;;;;;98;100;;13;0;0;;100;7.7;0;7.5;25.3;23.3;24.3;29.8;29;29.5;0.3;0;0.08;22.7;16.6;20;0.032;0;;;
