CodeINSEE;PopulationDGF2014;PopulationDGF2015;In‚ligibilit‚2016;PopulationDGF2016;CommunesUrbaines;PF2015;PF2016;Eligibilit‚(PF<1005?);In‚ligibilit‚2017;;;;;;;;;
55379;93;93;;93;;355;361;VRAI;;;;;;;;;;
55380;83;82;;82;;664;648;VRAI;;;;;;;;;;
55381;204;208;;213;;340;329;VRAI;;;;;;;;;;
55382;369;371;;374;;615;625;VRAI;;;;;;;;;;
55383;223;225;;231;;521;515;VRAI;;;;;;;;;;
55384;117;118;;121;;532;515;VRAI;;;;;;;;;;
55385;475;486;;485;;657;666;VRAI;;;;;;;;;;
55386;199;204;;217;;867;822;VRAI;;;;;;;;;;
55387;251;244;;243;;435;435;VRAI;;;;;;;;;;
55388;261;280;;293;;573;582;VRAI;;;;;;;;;;
55389;298;294;;285;;555;583;VRAI;;;;;;;;;;
55391;213;211;;204;;465;483;VRAI;;;;;;;;;;
55394;7;7;x;7;;2601;3921;FAUX;x;;;;;;;;;
55395;51;53;x;56;;2517;2303;FAUX;x;;;;;;;;;
55396;217;219;;219;;383;391;VRAI;;;;;;;;;;
55397;277;272;;271;;373;386;VRAI;;;;;;;;;;
55398;1031;1039;x;1063;;1856;1658;FAUX;x;;;;;;;;;
55399;128;129;;132;;359;360;VRAI;;;;;;;;;;
55400;53;51;x;51;;1254;1268;FAUX;x;;;;;;;;;
55401;412;414;;425;;500;485;VRAI;;;;;;;;;;
55403;74;72;;70;;460;492;VRAI;;;;;;;;;;
55404;304;327;;325;;466;492;VRAI;;;;;;;;;;
55405;249;262;;274;;413;406;VRAI;;;;;;;;;;
55406;100;106;;109;;478;490;VRAI;;;;;;;;;;
55407;150;146;;145;;497;534;VRAI;;;;;;;;;;
55408;242;242;;234;;457;487;VRAI;;;;;;;;;;
55409;66;67;;69;;632;622;VRAI;;;;;;;;;;
55410;176;171;;172;;456;452;VRAI;;;;;;;;;;
55442;279;280;x;285;;1177;1165;FAUX;x;;;;;;;;;
55411;102;101;;102;;548;538;VRAI;;;;;;;;;;
55412;201;204;;211;;429;412;VRAI;;;;;;;;;;
55414;213;215;;214;;576;613;VRAI;;;;;;;;;;
55415;87;89;;95;;438;415;VRAI;;;;;;;;;;
55416;242;238;;232;;511;513;VRAI;;;;;;;;;;
55419;185;183;;184;;418;417;VRAI;;;;;;;;;;
55420;79;79;;81;;519;494;VRAI;;;;;;;;;;
55421;76;76;x;77;;2381;2369;FAUX;x;;;;;;;;;
55422;49;50;;50;;416;404;VRAI;;;;;;;;;;
55423;348;353;;356;;520;513;VRAI;;;;;;;;;;
55424;70;72;;65;;590;664;VRAI;;;;;;;;;;
55425;158;153;;149;;440;438;VRAI;;;;;;;;;;
55426;437;432;;429;;607;636;VRAI;;;;;;;;;;
55427;3134;3091;;3072;;876;902;VRAI;;;;;;;;;;
55428;133;135;;127;;454;506;VRAI;;;;;;;;;;
55429;50;48;;46;;610;642;VRAI;;;;;;;;;;
55430;116;117;;115;;174;186;VRAI;;;;;;;;;;
55431;67;66;;65;;476;486;VRAI;;;;;;;;;;
55433;418;423;;419;;469;488;VRAI;;;;;;;;;;
55434;61;63;;64;;624;1076;FAUX;T;;;;;;;;;
55435;852;859;;861;;585;613;VRAI;;;;;;;;;;
55436;40;39;;38;;485;474;VRAI;;;;;;;;;;
55437;120;118;;118;;606;622;VRAI;;;;;;;;;;
55438;217;217;;219;;434;421;VRAI;;;;;;;;;;
55439;102;103;;103;;336;339;VRAI;;;;;;;;;;
55443;785;732;;673;;283;304;VRAI;;;;;;;;;;
55444;193;192;;190;;461;469;VRAI;;;;;;;;;;
55445;210;208;;206;;494;511;VRAI;;;;;;;;;;
55446;102;102;;98;;931;970;VRAI;;;;;;;;;;
55447;384;383;;380;;563;572;VRAI;;;;;;;;;;
55448;58;61;;60;;544;589;VRAI;;;;;;;;;;
55449;307;301;;308;;555;557;VRAI;;;;;;;;;;
55450;59;57;;56;;429;423;VRAI;;;;;;;;;;
55452;83;84;;85;;578;665;VRAI;;;;;;;;;;
55453;63;65;;65;;446;460;VRAI;;;;;;;;;;
55454;178;179;x;180;;1189;1194;FAUX;x;;;;;;;;;
55456;283;285;;284;;796;803;VRAI;;;;;;;;;;
55457;213;213;;203;;412;443;VRAI;;;;;;;;;;
55458;346;357;;370;;413;399;VRAI;;;;;;;;;;
55459;253;247;;247;;466;468;VRAI;;;;;;;;;;
55460;145;155;;157;;450;461;VRAI;;;;;;;;;;
55461;517;513;;519;;364;371;VRAI;;;;;;;;;;
55462;439;436;;430;;523;535;VRAI;;;;;;;;;;
55463;4637;4493;;4424;;727;734;VRAI;;;;;;;;;;
55464;167;170;;172;;448;470;VRAI;;;;;;;;;;
55465;104;112;;115;;309;313;VRAI;;;;;;;;;;
55466;322;319;;312;;554;610;VRAI;;;;;;;;;;
55468;85;89;;94;;527;767;VRAI;;;;;;;;;;
55467;768;769;;770;;490;503;VRAI;;;;;;;;;;
55469;140;141;;138;;497;511;VRAI;;;;;;;;;;
55470;206;205;;208;;569;577;VRAI;;;;;;;;;;
55471;130;129;;128;;535;554;VRAI;;;;;;;;;;
55472;136;135;;129;;898;958;VRAI;;;;;;;;;;
55473;145;136;;134;;479;501;VRAI;;;;;;;;;;
55474;310;301;;287;;384;408;VRAI;;;;;;;;;;
55475;67;69;;69;;435;448;VRAI;;;;;;;;;;
55476;503;503;x;504;;1596;1631;FAUX;x;;;;;;;;;
55477;478;469;;454;;431;446;VRAI;;;;;;;;;;
55479;205;201;;196;;441;465;VRAI;;;;;;;;;;
55481;318;318;;321;;483;493;VRAI;;;;;;;;;;
55482;100;95;;91;;469;481;VRAI;;;;;;;;;;
55484;54;55;x;53;;1893;1948;FAUX;x;;;;;;;;;
55485;94;91;;90;;420;458;VRAI;;;;;;;;;;
55517;540;540;;553;;532;528;VRAI;;;;;;;;;;
55487;101;100;;107;;505;490;VRAI;;;;;;;;;;
55488;187;186;;179;;571;656;VRAI;;;;;;;;;;
55489;274;277;;283;;427;657;VRAI;;;;;;;;;;
55490;426;431;;438;;543;550;VRAI;;;;;;;;;;
55492;969;975;;981;;548;552;VRAI;;;;;;;;;;
55493;207;208;;206;;576;613;VRAI;;;;;;;;;;
55494;505;501;;494;;577;586;VRAI;;;;;;;;;;
55495;267;280;;271;;342;370;VRAI;;;;;;;;;;
55496;1049;1083;;1089;;990;970;VRAI;;;;;;;;;;
55497;340;349;x;355;;995;976;VRAI;;;;;;;;;;
55498;379;377;;379;;783;797;VRAI;;;;;;;;;;
55500;876;869;;868;;492;512;VRAI;;;;;;;;;;
55501;423;444;;452;;446;454;VRAI;;;;;;;;;;
55502;2927;2902;;2883;;955;953;VRAI;;;;;;;;;;
55503;174;171;;166;;361;368;VRAI;;;;;;;;;;
55504;411;404;;399;;633;660;VRAI;;;;;;;;;;
55505;3133;3129;x;3147;OUI;787;766;VRAI;x;;;;;;;;;
55506;41;40;;38;;660;662;VRAI;;;;;;;;;;
55507;268;263;;258;;299;316;VRAI;;;;;;;;;;
55508;281;289;;290;;390;407;VRAI;;;;;;;;;;
55510;155;158;;157;;407;406;VRAI;;;;;;;;;;
